Inmunno efficiency,Max.cells
0.0,166.0
0.02040816326530612,203.0
0.04081632653061224,156.0
0.061224489795918366,194.0
0.08163265306122448,174.0
0.1020408163265306,167.0
0.12244897959183673,162.0
0.14285714285714285,222.0
0.16326530612244897,182.0
0.18367346938775508,186.0
0.2040816326530612,187.0
0.22448979591836732,217.0
0.24489795918367346,338.0
0.26530612244897955,186.0
0.2857142857142857,232.0
0.3061224489795918,259.0
0.32653061224489793,185.0
0.3469387755102041,236.0
0.36734693877551017,282.0
0.3877551020408163,190.0
0.4081632653061224,232.0
0.42857142857142855,209.0
0.44897959183673464,258.0
0.4693877551020408,250.0
0.4897959183673469,237.0
0.5102040816326531,260.0
0.5306122448979591,257.0
0.5510204081632653,322.0
0.5714285714285714,329.0
0.5918367346938775,306.0
0.6122448979591836,302.0
0.6326530612244897,304.0
0.6530612244897959,317.0
0.673469387755102,333.0
0.6938775510204082,373.0
0.7142857142857142,362.0
0.7346938775510203,335.0
0.7551020408163265,389.0
0.7755102040816326,353.0
0.7959183673469387,397.0
0.8163265306122448,381.0
0.836734693877551,423.0
0.8571428571428571,404.0
0.8775510204081632,456.0
0.8979591836734693,428.0
0.9183673469387754,406.0
0.9387755102040816,452.0
0.9591836734693877,454.0
0.9795918367346939,466.0
1.0,432.0
